dataentryid,id,partner,partnermentiontype,datecreated,servicetype,authordisplayname,message,contenttype,url,impressions,retweetcount,likecount,replycount,commentcount,viewcount,lovecount,sharecount,wowcount,hahacount,sadcount,angrycount,brandexposurevalue,logoaverageclarity,logoaveragesize,logototalseconds,logoimpressions,engagement,sentiment,vodviews,tags,alllogos,textmention
1658,1974474969,Arizona Coyotes,TextMention,3/17/21 19:13,Twitter,Arizona Coyotes,,Photo,,16037,2,35,1,,,,,,,,,0,,,,,473,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1657,-2047316678,Arizona Coyotes,TextMention,3/17/21 17:57,Twitter,Arizona Coyotes,,Text,,86,0,9,0,,,,,,,,,0,,,,,15,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1656,-1784324147,Arizona Coyotes,TextMention,3/17/21 17:31,Twitter,Arizona Coyotes,,Photo,,7637,4,47,4,,,,,,,,,0,,,,,314,Objective,,"Social Owned,Coyotes Owned,Gila River","Gila River,Mountain America Credit Union","Coyotes Owned,Gila River"
1655,-1168339381,Arizona Coyotes,TextMention,3/17/21 17:08,Twitter,Arizona Coyotes,,Photo,,18573,14,222,17,,,,,,,,,0,,,,,2423,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1654,-1071834427,Arizona Coyotes,TextMention,3/17/21 16:39,Twitter,Arizona Coyotes,,Photo,,12455,7,114,1,,,,,,,,,0,,,,,1471,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1653,2102534609,Arizona Coyotes,TextMention,3/17/21 0:59,Twitter,Arizona Coyotes,,Text,,10908,7,67,4,,,,,,,,,0,,,,,243,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1652,-1617755371,Arizona Coyotes,TextMention,3/17/21 0:11,Twitter,Arizona Coyotes,,Photo,,24342,12,270,3,,,,,,,,,0,,,,,1798,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1651,-1816380638,Arizona Coyotes,TextMention,3/17/21 22:22,Twitter,Arizona Coyotes,,Text,,13142,8,97,8,,,,,,,,,0,,,,,615,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1650,-1899635273,Arizona Coyotes,TextMention,3/16/21 21:14,Twitter,Arizona Coyotes,,Photo,,50601,31,449,11,,,,,,,,,0,,,,,4028,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1649,-1327387050,Arizona Coyotes,TextMention,3/16/21 20:24,Twitter,Arizona Coyotes,,Photo,,182076,19,383,20,,,,,,,,,0,,,,,17718,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1648,-1755669506,Arizona Coyotes,TextMention,3/16/21 17:52,Twitter,Arizona Coyotes,,Photo,,8276,3,41,2,,,,,,,,,0,,,,,183,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1647,-316465911,Arizona Coyotes,TextMention,3/16/21 17:28,Twitter,Arizona Coyotes,,Photo,,9844,13,130,5,,,,,,,,,0,,,,,628,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1646,-486991232,Arizona Coyotes,TextMention,3/16/21 16:43,Twitter,Arizona Coyotes,,Photo,,12555,10,117,2,,,,,,,,,0,,,,,663,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1645,349431872,Arizona Coyotes,TextMention,3/16/21 22:41,Twitter,Arizona Coyotes,,Photo,,19248,12,129,2,,,,,,,,,0,,,,,673,Positive,,"Social Owned,Coyotes Owned",Gila River,Coyotes Owned
1644,804716178,Arizona Coyotes,TextMention,3/16/21 22:06,YouTube,Arizona Coyotes,Arizona Coyotes introduce Tucson Roadrunners GM John Ferguson Arizona Coyotes General Manager Bill Armstrong introduced John Ferguson as the Club's Assistant General Manager. Ferguson will also serve as the General Manager of the Tucson Roadrunners (AHL).   #ArizonaCoyotes #Coyotes #Yotes #NHL #Hockey   Subscribe to the Arizona Coyotes YT Channel: youtube.com/c/ArizonaCoyotes/?sub_confirmation=1 For more Coyotes videos: https://www.youtube.com/c/ArizonaCoyotes/  Get the App: https://apple.co/3jxC1su For more Coyotes action: http://www.arizonacoyotes.com Sign up for our newsletter: https://www.nhl.com/coyotes/fans/email/ Like us on Facebook: https://www.facebook.com/ArizonaCoyotes Follow us on Twitter: https://twitter.com/ArizonaCoyotes Follow us on Instagram: https://www.instagram.com/arizonacoyo...,Video,https://www.youtube.com/watch?v=v40FSwspA9c,132,,6,,0,132,,,,,,,0,,,,,7,Positive,132,"Social Owned,Coyotes Owned",,Coyotes Owned
1643,749946154,Arizona Coyotes,TextMention,3/15/21 18:16,Twitter,Arizona Coyotes,,Text,,358,3,7,1,,,,,,,,,0,,,,,15,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1642,1919406793,Arizona Coyotes,TextMention,3/15/21 16:37,Twitter,Arizona Coyotes,,Photo,,,0,0,0,,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned,Dignity Health",Dignity Health,"Coyotes Owned,Dignity Health"
1641,-506889315,Arizona Coyotes,TextMention,3/15/21 13:05,Twitter,Arizona Coyotes,,Text,,32462,42,187,7,,,,,,,,,0,,,,,835,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1640,-2009713858,Arizona Coyotes,TextMention,3/15/21 0:31,Twitter,Arizona Coyotes,,Video,,242060,58,682,9,,34660,,,,,,,0,,,,,5029,Negative,34660,"Social Owned,Coyotes Owned,Geico,Dignity Health,Enterprise,Mayo Clinic","Banner Health,Cintron World,Dignity Health,Enterprise,Fry's,Geico,Gila River,Mayo Clinic,Mountain America Credit Union","Coyotes Owned,Geico,Dignity Health,Enterprise,Mayo Clinic"
1639,287386607,Arizona Coyotes,TextMention,3/14/21 21:00,Twitter,Arizona Coyotes,,Text,,16596,17,115,4,,,,,,,,,0,,,,,449,Positive,,"Social Owned,Coyotes Owned,Dignity Health",,"Coyotes Owned,Dignity Health"
1638,1431707820,Arizona Coyotes,TextMention,3/14/21 18:40,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1637,-610172043,Arizona Coyotes,TextMention,3/14/21 16:20,Twitter,Arizona Coyotes,,Video,,9016,12,100,0,,2096,,,,,,,0,,,,,624,Positive,2096,"Social Owned,Coyotes Owned",,Coyotes Owned
1636,1700539561,Arizona Coyotes,TextMention,3/14/21 4:16,Twitter,Arizona Coyotes,,Video,,30026,22,236,4,,8800,,,,,,,0,,,,,2066,Positive,8800,"Social Owned,Coyotes Owned,Enterprise,Mayo Clinic","Banner Health,Cox Communications,Enterprise,Fry's,Gila River,Mayo Clinic,Mountain America Credit Union","Coyotes Owned,Enterprise,Mayo Clinic"
1635,-1602798265,Arizona Coyotes,TextMention,3/14/21 2:58,Twitter,Arizona Coyotes,,Photo,,31029,15,214,3,,,,,,,,,0,,,,,3567,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1634,881881158,Arizona Coyotes,TextMention,3/14/21 2:27,Twitter,Arizona Coyotes,,Video,,29750,23,185,3,,7832,,,,,,,0,,,,,2224,Objective,7832,"Social Owned,Coyotes Owned,Geico,Dignity Health,Enterprise,Mayo Clinic","Cintron World,Cox Communications,Dignity Health,Enterprise,Fry's,Geico,Gila River,Mayo Clinic,Mountain America Credit Union","Coyotes Owned,Geico,Dignity Health,Enterprise,Mayo Clinic"
1633,-1369696675,Arizona Coyotes,TextMention,3/14/21 2:09,Twitter,Arizona Coyotes,,Photo,,29020,12,237,6,,,,,,,,,0,,,,,3564,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1632,1295682146,Arizona Coyotes,TextMention,3/14/21 2:00,Twitter,Arizona Coyotes,,Video,,17471,25,141,2,,4860,,,,,,,0,,,,,1422,Positive,4860,"Social Owned,Coyotes Owned,Dignity Health,Mayo Clinic","Dignity Health,Gila River,Mayo Clinic,Mountain America Credit Union","Coyotes Owned,Dignity Health,Mayo Clinic"
1631,1914957907,Arizona Coyotes,TextMention,3/14/21 1:12,Twitter,Arizona Coyotes,,Photo,,14672,4,112,2,,,,,,,,,0,,,,,1278,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1630,1046082991,Arizona Coyotes,TextMention,3/14/21 13:09,Twitter,Arizona Coyotes,,Video,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned,Enterprise,Mayo Clinic","Banner Health,Cox Communications,Enterprise,Fry's,Gila River,Mayo Clinic,Mountain America Credit Union","Coyotes Owned,Enterprise,Mayo Clinic"
